district,year,week,rainfall_mm,temp_avg_c,humidity_pct
Anuradhapura,2016,14,25.240000000000002,29.810000000000002,70.34142857142857
Anuradhapura,2016,15,5.6000000000000005,30.562857142857144,69.98142857142857
Anuradhapura,2016,16,12.57,29.57857142857143,74.25571428571428
Anuradhapura,2016,17,8.68,30.52,69.07000000000001
Anuradhapura,2016,18,41.2,29.951428571428572,73.61285714285714
Anuradhapura,2016,19,208.32999999999998,28.490000000000002,76.1857142857143
Anuradhapura,2016,20,185.27,27.275714285714287,88.83571428571429
Anuradhapura,2016,21,2.44,27.521428571428572,86.45
Anuradhapura,2016,22,4.03,27.25714285714286,84.66
Anuradhapura,2016,23,9.87,27.104285714285712,86.22857142857143
Anuradhapura,2016,24,1.55,26.91714285714286,83.87285714285714
Anuradhapura,2016,25,0.76,26.90142857142857,79.06142857142858
Anuradhapura,2016,26,0.41000000000000003,27.571428571428573,79.94714285714285
Anuradhapura,2016,27,1.4000000000000001,27.821428571428573,75.85000000000001
Anuradhapura,2016,28,1.48,27.618571428571425,76.33142857142856
Anuradhapura,2016,29,0.6,27.435714285714287,74.69857142857143
Anuradhapura,2016,30,20.869999999999997,26.982857142857142,79.4557142857143
Anuradhapura,2016,31,0.01,27.854285714285716,74.17857142857143
Anuradhapura,2016,32,0.15,28.712857142857143,70.81857142857143
Anuradhapura,2016,33,0.39,29.087142857142858,68.41714285714285
Anuradhapura,2016,34,4.109999999999999,27.91857142857143,73.87285714285714
Anuradhapura,2016,35,2.9499999999999997,28.322857142857142,68.82571428571428
Anuradhapura,2016,36,0.05,28.988571428571426,63.730000000000004
Anuradhapura,2016,37,0.1,29.295714285714286,65.84
Anuradhapura,2016,38,0.97,29.07857142857143,65.81857142857143
Anuradhapura,2016,39,0.07,29.204285714285714,64.86714285714287
Anuradhapura,2016,40,1.31,29.22,61.51571428571429
Anuradhapura,2016,41,9.53,29.57,61.73285714285714
Anuradhapura,2016,42,13.16,28.41857142857143,66.96142857142857
Anuradhapura,2016,43,35.44,27.71857142857143,72.59
Anuradhapura,2016,44,108.75999999999999,26.114285714285717,86.91857142857143
Anuradhapura,2016,45,24.78,26.015714285714285,81.55285714285715
Anuradhapura,2016,46,85.38,25.861428571428572,88.04142857142857
Anuradhapura,2016,47,41.989999999999995,25.37857142857143,85.0442857142857
Anuradhapura,2016,48,19.34,23.99857142857143,84.85142857142857
Anuradhapura,2016,49,2.05,24.895714285714288,84.59142857142857
Anuradhapura,2016,50,2.38,25.395714285714288,80.62571428571428
Anuradhapura,2016,51,26.75,24.048571428571428,81.74857142857142
Anuradhapura,2016,52,29.88,25.15142857142857,83.37857142857142
Anuradhapura,2017,1,0.86,24.127142857142854,74.68714285714285
Anuradhapura,2017,2,0.11,24.104285714285712,69.42571428571429
Anuradhapura,2017,3,17.09,25.127142857142854,73.75857142857141
Anuradhapura,2017,4,84.37,25.322857142857142,86.75142857142858
Anuradhapura,2017,5,1.55,24.0,74.37571428571428
Anuradhapura,2017,6,0.08,24.254285714285714,67.68714285714286
Anuradhapura,2017,7,33.5,25.934285714285714,74.23
Anuradhapura,2017,8,0.74,26.435714285714287,71.74428571428572
Anuradhapura,2017,9,48.58,26.26142857142857,81.80999999999999
Anuradhapura,2017,10,42.72,26.972857142857144,82.56142857142856
Anuradhapura,2017,11,49.69,26.071428571428573,82.18857142857142
Anuradhapura,2017,12,7.17,26.27285714285714,72.11714285714285
Anuradhapura,2017,13,21.0,27.71857142857143,75.43285714285715
Anuradhapura,2017,14,4.26,28.84714285714286,70.86999999999999
Anuradhapura,2017,15,40.36,28.805714285714284,75.47285714285714
Anuradhapura,2017,16,0.0,29.987142857142857,68.35571428571428
Anuradhapura,2017,17,1.55,29.83142857142857,68.70714285714286
Anuradhapura,2017,18,43.739999999999995,29.445714285714285,71.22857142857143
Anuradhapura,2017,19,35.35,28.94142857142857,76.65714285714286
Anuradhapura,2017,20,1.01,29.012857142857143,75.44714285714285
Anuradhapura,2017,21,51.129999999999995,28.23,79.21285714285715
Anuradhapura,2017,22,2.71,28.07428571428571,75.4557142857143
Anuradhapura,2017,23,4.5200000000000005,28.09714285714286,76.43714285714285
Anuradhapura,2017,24,0.31,28.860000000000003,73.08285714285714
Anuradhapura,2017,25,1.3199999999999998,28.391428571428573,71.74142857142857
Anuradhapura,2017,26,6.05,28.187142857142856,73.59857142857143
Anuradhapura,2017,27,5.76,28.381428571428568,69.77571428571427
Anuradhapura,2017,28,2.19,28.475714285714282,70.70857142857143
Anuradhapura,2017,29,0.8200000000000001,28.925714285714285,69.05142857142857
Anuradhapura,2017,30,6.21,30.077142857142857,66.36285714285714
Anuradhapura,2017,31,3.81,29.08285714285714,70.62857142857142
Anuradhapura,2017,32,60.33,27.997142857142855,75.53999999999999
Anuradhapura,2017,33,9.28,27.75857142857143,74.41571428571429
Anuradhapura,2017,34,9.98,28.084285714285716,74.91
Anuradhapura,2017,35,32.370000000000005,28.177142857142858,76.46000000000001
Anuradhapura,2017,36,17.77,27.12142857142857,79.80142857142857
Anuradhapura,2017,37,5.08,27.511428571428574,77.5442857142857
Anuradhapura,2017,38,0.61,28.238571428571426,72.41857142857143
Anuradhapura,2017,39,12.379999999999999,28.254285714285714,72.96428571428571
Anuradhapura,2017,40,5.12,28.291428571428572,73.56428571428572
Anuradhapura,2017,41,25.87,27.495714285714286,76.85000000000001
Anuradhapura,2017,42,14.05,28.06714285714286,76.13714285714286
Anuradhapura,2017,43,61.019999999999996,27.09,81.43428571428572
Anuradhapura,2017,44,96.48,25.457142857142856,90.25571428571428
Anuradhapura,2017,45,12.43,25.472857142857144,89.52142857142857
Anuradhapura,2017,46,7.31,25.84,83.87285714285714
Anuradhapura,2017,47,66.67,25.872857142857146,85.76285714285714
Anuradhapura,2017,48,74.65,25.545714285714286,90.87
Anuradhapura,2017,49,3.74,24.885714285714283,85.29285714285713
Anuradhapura,2017,50,30.19,25.59,85.90285714285714
Anuradhapura,2017,51,41.849999999999994,24.65142857142857,83.52142857142857
Anuradhapura,2017,52,11.0,24.337142857142858,83.35714285714286
Anuradhapura,2018,1,0.03,23.73857142857143,78.12714285714286
Anuradhapura,2018,2,23.400000000000002,24.665714285714284,85.38428571428572
Anuradhapura,2018,3,0.17,24.041428571428572,76.0657142857143
Anuradhapura,2018,4,0.14,24.912857142857142,73.84857142857143
Anuradhapura,2018,5,4.62,25.46857142857143,73.44857142857143
Anuradhapura,2018,6,1.56,26.595714285714287,75.55999999999999
Anuradhapura,2018,7,1.81,26.472857142857144,69.73142857142857
Anuradhapura,2018,8,8.49,26.365714285714287,67.53857142857143
Anuradhapura,2018,9,43.09,26.752857142857145,75.41428571428571
Anuradhapura,2018,10,3.6,27.372857142857146,69.78142857142858
Anuradhapura,2018,11,47.69,27.315714285714286,78.06714285714285
Anuradhapura,2018,12,0.26,28.080000000000002,65.41428571428571
Anuradhapura,2018,13,12.41,28.614285714285717,73.48857142857142
Anuradhapura,2018,14,15.33,28.545714285714286,71.43285714285715
Anuradhapura,2018,15,44.33,27.712857142857143,79.53
Anuradhapura,2018,16,12.77,29.315714285714286,71.58714285714287
Anuradhapura,2018,17,25.73,29.50857142857143,72.82285714285715
Anuradhapura,2018,18,96.4,28.5,80.21142857142857
Anuradhapura,2018,19,55.9,27.054285714285715,86.36285714285714
Anuradhapura,2018,20,41.120000000000005,26.75857142857143,87.30714285714285
Anuradhapura,2018,21,73.05,26.388571428571428,89.83857142857143
Anuradhapura,2018,22,9.969999999999999,27.207142857142856,87.40428571428572
Anuradhapura,2018,23,7.82,26.942857142857143,88.20142857142856
Anuradhapura,2018,24,1.73,27.00142857142857,84.16428571428571
Anuradhapura,2018,25,0.6,27.107142857142858,81.32285714285715
Anuradhapura,2018,26,11.29,27.287142857142857,77.93714285714285
Anuradhapura,2018,27,4.21,27.375714285714285,78.86142857142856
Anuradhapura,2018,28,1.12,27.434285714285714,76.03999999999999
Anuradhapura,2018,29,0.26,27.86285714285714,73.14428571428572
Anuradhapura,2018,30,1.75,28.275714285714287,72.66
Anuradhapura,2018,31,0.73,27.774285714285714,73.11571428571429
Anuradhapura,2018,32,1.61,27.69142857142857,73.11285714285715
Anuradhapura,2018,33,1.19,27.71142857142857,72.18142857142857
Anuradhapura,2018,34,17.68,28.40285714285714,70.16428571428571
Anuradhapura,2018,35,8.18,27.678571428571427,73.65857142857143
Anuradhapura,2018,36,2.27,28.514285714285712,66.20714285714286
Anuradhapura,2018,37,2.19,29.59,61.49857142857143
Anuradhapura,2018,38,1.49,28.875714285714285,67.57857142857144
Anuradhapura,2018,39,43.29,28.25142857142857,74.23428571428572
Anuradhapura,2018,40,69.58,27.345714285714283,80.36142857142856
Anuradhapura,2018,41,82.5,25.93142857142857,85.19857142857143
Anuradhapura,2018,42,68.7,25.96857142857143,84.32857142857142
Anuradhapura,2018,43,28.71,25.974285714285713,87.9742857142857
Anuradhapura,2018,44,101.77000000000001,25.674285714285713,89.3457142857143
Anuradhapura,2018,45,83.77,25.357142857142858,89.29142857142857
Anuradhapura,2018,46,7.91,25.164285714285715,85.47714285714287
Anuradhapura,2018,47,61.19,25.562857142857144,89.95
Anuradhapura,2018,48,6.55,25.024285714285718,86.19571428571429
Anuradhapura,2018,49,36.56,25.412857142857142,89.21857142857142
Anuradhapura,2018,50,2.9299999999999997,24.138571428571428,88.27142857142857
Anuradhapura,2018,51,43.769999999999996,24.738571428571426,89.13571428571429
Anuradhapura,2018,52,33.41,24.662857142857142,87.5942857142857
Anuradhapura,2019,1,0.6799999999999999,22.858571428571427,81.96285714285715
Anuradhapura,2019,2,6.08,23.96142857142857,85.94571428571429
Anuradhapura,2019,3,1.6600000000000001,23.618571428571432,81.45857142857143
Anuradhapura,2019,4,0.06,24.892857142857142,81.94428571428571
Anuradhapura,2019,5,11.57,25.271428571428572,78.08285714285715
Anuradhapura,2019,6,74.05,25.694285714285716,84.86571428571428
Anuradhapura,2019,7,5.28,26.400000000000002,80.89857142857143
Anuradhapura,2019,8,2.24,26.122857142857146,74.39857142857143
Anuradhapura,2019,9,0.45,27.722857142857144,72.31285714285714
Anuradhapura,2019,10,0.66,28.951428571428572,67.19571428571429
Anuradhapura,2019,11,0.52,27.648571428571426,67.12
Anuradhapura,2019,12,3.41,28.914285714285715,66.58142857142857
Anuradhapura,2019,13,0.0,29.20285714285714,55.68
Anuradhapura,2019,14,0.02,31.101428571428574,54.535714285714285
Anuradhapura,2019,15,10.73,31.5,58.75714285714286
Anuradhapura,2019,16,34.85,30.40142857142857,65.3
Anuradhapura,2019,17,24.81,29.41857142857143,69.64428571428572
Anuradhapura,2019,18,6.720000000000001,29.247142857142858,74.05714285714285
Anuradhapura,2019,19,1.25,30.46142857142857,64.69285714285715
Anuradhapura,2019,20,3.69,30.298571428571428,68.68285714285715
Anuradhapura,2019,21,2.67,30.18285714285714,67.39285714285714
Anuradhapura,2019,22,0.3,31.118571428571425,63.59285714285714
Anuradhapura,2019,23,6.49,29.617142857142856,70.72285714285714
Anuradhapura,2019,24,2.5,29.964285714285715,68.98142857142857
Anuradhapura,2019,25,0.25,29.75142857142857,68.13428571428571
Anuradhapura,2019,26,0.33,30.132857142857144,65.50285714285714
Anuradhapura,2019,27,0.18,29.68857142857143,68.40285714285714
Anuradhapura,2019,28,3.37,29.795714285714286,65.14142857142858
Anuradhapura,2019,29,2.17,29.177142857142858,65.59285714285714
Anuradhapura,2019,30,2.2399999999999998,29.53142857142857,63.89142857142857
Anuradhapura,2019,31,4.85,29.312857142857144,67.30285714285715
Anuradhapura,2019,32,25.77,28.352857142857143,72.10142857142857
Anuradhapura,2019,33,45.65,27.745714285714286,73.84857142857143
Anuradhapura,2019,34,14.35,27.571428571428573,74.46000000000001
Anuradhapura,2019,35,4.46,27.90857142857143,72.49
Anuradhapura,2019,36,3.26,28.201428571428572,74.55857142857143
Anuradhapura,2019,37,35.489999999999995,27.97142857142857,74.05857142857143
Anuradhapura,2019,38,27.6,27.312857142857144,77.87857142857142
Anuradhapura,2019,39,56.72,26.604285714285712,82.29142857142857
Anuradhapura,2019,40,52.870000000000005,27.035714285714285,80.44428571428571
Anuradhapura,2019,41,61.41,26.65142857142857,83.72714285714287
Anuradhapura,2019,42,123.94999999999999,25.93285714285714,89.03428571428572
Anuradhapura,2019,43,111.14,25.177142857142858,90.09571428571428
Anuradhapura,2019,44,72.96,25.44857142857143,87.74285714285715
Anuradhapura,2019,45,12.709999999999999,26.252857142857145,87.27428571428571
Anuradhapura,2019,46,34.32,25.92142857142857,86.07428571428571
Anuradhapura,2019,47,50.760000000000005,25.912857142857142,88.64999999999999
Anuradhapura,2019,48,177.70999999999998,26.254285714285714,89.15857142857143
Anuradhapura,2019,49,185.82,25.50142857142857,90.5457142857143
Anuradhapura,2019,50,49.9,25.08285714285714,90.55571428571429
Anuradhapura,2019,51,62.69,25.455714285714286,90.36714285714285
Anuradhapura,2019,52,44.339999999999996,24.54,88.45
Anuradhapura,2020,1,3.1999999999999997,25.43,88.76285714285714
Anuradhapura,2020,2,10.860000000000001,24.267142857142858,85.07428571428571
Anuradhapura,2020,3,8.26,24.155714285714286,83.91571428571429
