district,date,rain_sum,precipitation_sum,daylight_duration,uv_index_max,temp_max,temp_min,temp_daily_avg,humidity_daily_avg,rain_daily_total,precip_prob_daily_avg,dew_point_avg
Hambantota,2025-12-07,0.0,2.3,42379.78,8.0,32.2,23.4,27.0125,80.16666666666667,0.0,23.333333333333332,22.945833333333336
Hambantota,2025-12-08,0.0,0.1,42373.43,8.05,32.9,22.3,26.545833333333334,82.5,0.0,17.625,22.954166666666666
Hambantota,2025-12-09,0.0,14.2,42367.54,7.65,29.5,23.7,26.016666666666666,87.83333333333333,0.0,33.125,23.7375
Hambantota,2025-12-10,0.0,3.6,42362.11,7.95,30.1,23.2,26.34166666666667,83.79166666666667,0.0,26.291666666666668,23.25
Hambantota,2025-12-11,0.0,0.3,42357.17,8.1,31.5,23.9,27.020833333333332,77.0,0.0,20.5,22.400000000000002
Hambantota,2025-12-12,0.0,0.0,42352.73,7.5,32.7,22.9,27.166666666666668,74.54166666666667,0.0,19.125,21.837500000000002
Jaffna,2025-12-06,0.0,11.7,41679.06,7.55,27.7,25.9,26.6875,84.45833333333333,0.0,74.41666666666667,23.8
Jaffna,2025-12-07,0.0,11.3,41668.19,6.95,26.8,25.8,26.195833333333336,85.125,0.0,74.16666666666667,23.479166666666668
Jaffna,2025-12-08,0.0,0.6,41658.02,7.15,27.6,26.0,26.675,75.45833333333333,0.0,15.291666666666666,21.925
Jaffna,2025-12-09,0.0,21.5,41648.58,6.7,26.3,24.9,25.729166666666668,84.625,0.0,71.41666666666667,22.920833333333334
Jaffna,2025-12-10,0.0,28.7,41639.9,2.15,26.2,25.3,25.825,88.16666666666667,0.0,85.54166666666667,23.712500000000002
Jaffna,2025-12-11,0.0,29.4,41631.99,0.95,26.0,25.6,25.829166666666666,87.66666666666667,0.0,75.66666666666667,23.59583333333333
Jaffna,2025-12-12,0.0,10.8,41624.88,5.1,26.3,25.7,25.97083333333333,83.5,0.0,55.25,22.95
Kilinochchi,2025-12-06,0.0,4.5,41755.45,7.6,30.3,24.1,26.229166666666668,85.41666666666667,0.0,27.791666666666668,23.400000000000002
Kilinochchi,2025-12-07,0.0,1.1,41745.02,7.2,28.7,24.0,25.820833333333336,86.75,0.0,34.625,23.3125
Kilinochchi,2025-12-08,0.0,1.2,41735.26,6.85,30.3,24.1,26.316666666666666,78.625,0.0,12.0,22.041666666666668
Kilinochchi,2025-12-09,0.0,16.4,41726.2,6.9,26.2,24.0,24.96666666666667,90.0,0.0,64.79166666666667,23.162499999999998
Kilinochchi,2025-12-10,0.0,9.8,41717.88,2.85,26.9,23.4,25.02916666666667,91.29166666666667,0.0,61.5,23.46666666666667
Kilinochchi,2025-12-11,0.0,11.1,41710.29,2.25,27.4,23.6,25.212500000000002,90.75,0.0,47.208333333333336,23.520833333333332
Kilinochchi,2025-12-12,0.0,5.6,41703.46,3.55,27.1,23.7,25.099999999999998,88.625,0.0,35.041666666666664,23.041666666666668
Mannar,2025-12-06,0.0,0.6,41857.05,7.2,28.0,25.6,26.704166666666666,86.25,0.0,28.375,24.166666666666668
Mannar,2025-12-07,0.0,1.7,41847.2,6.3,27.1,25.4,26.195833333333336,87.04166666666667,0.0,34.208333333333336,23.833333333333332
Mannar,2025-12-08,0.0,0.1,41837.99,7.0,27.6,25.8,26.683333333333334,79.875,0.0,12.041666666666666,22.8625
Mannar,2025-12-09,0.0,1.3,41829.45,6.35,26.4,25.6,26.020833333333332,85.29166666666667,0.0,51.5,23.316666666666666
Mannar,2025-12-10,0.0,7.3,41821.59,1.6,26.2,25.4,25.770833333333332,89.29166666666667,0.0,60.625,23.8625
Mannar,2025-12-11,0.0,12.6,41814.43,5.0,26.6,25.4,25.870833333333334,88.375,0.0,53.25,23.770833333333332
Mannar,2025-12-12,0.0,4.4,41807.99,5.7,26.3,25.2,25.695833333333336,87.95833333333333,0.0,42.791666666666664,23.52916666666667
Vavuniya,2025-12-06,0.0,0.1,41882.41,7.65,31.0,23.0,25.858333333333334,85.16666666666667,0.0,12.0,22.900000000000002
